wlm_rpe,wlm_gse,gwe,gse_gwe
285.7,285.7,250.2,35.5
285.7,285.7,253.2,32.5
285.7,285.7,252.3,33.4
285.7,285.7,249.7,36.0
285.7,285.7,254.2,31.5
285.7,285.7,255.4,30.3
285.7,285.7,258.5,27.2
285.7,285.7,256.9,28.8
164.41,163.41,120.31,43.1
275.69,275.69,231.09,44.6
275.69,275.69,231.29,44.4
275.69,275.69,227.49,48.2
275.69,275.69,227.89,47.8
275.69,275.69,226.09,49.6
275.69,275.69,228.39,47.3
275.69,275.69,226.59,49.1
275.69,275.69,225.39,50.3
275.69,275.69,227.59,48.1
275.69,275.69,223.09,52.6
275.69,275.69,218.09,57.6
275.69,275.69,214.89,60.8
275.69,275.69,224.89,50.8
275.69,275.69,227.89,47.8
275.69,275.69,231.29,44.4
275.69,275.69,231.69,44.0
275.69,275.69,234.49,41.2
275.69,275.69,237.89,37.8
275.69,275.69,237.49,38.2
275.69,275.69,237.79,37.9
275.69,275.69,236.59,39.1
275.69,275.69,235.39,40.3
275.69,275.69,235.39,40.3
275.69,275.69,239.59,36.1
275.69,275.69,238.29,37.4
275.69,275.69,240.29,35.4
275.69,275.69,238.29,37.4
275.69,275.69,231.89,43.8
275.69,275.69,233.69,42.0
275.69,275.69,229.59,46.1
275.69,275.69,231.09,44.6
275.69,275.69,229.29,46.4
275.69,275.69,232.69,43.0
275.69,275.69,231.49,44.2
275.69,275.69,231.69,44.0
275.69,275.69,232.09,43.6
275.69,275.69,237.39,38.3
275.69,275.69,238.09,37.6
275.69,275.69,241.69,34.0
275.69,275.69,243.49,32.2
275.69,275.69,246.29,29.4
275.69,275.69,247.49,28.2
275.69,275.69,243.69,32.0
275.69,275.69,243.99,31.7
275.69,275.69,244.29,31.4
275.69,275.69,244.59,31.1
275.69,275.69,244.99,30.7
275.69,275.69,244.89,30.8
275.69,275.69,244.79,30.9
275.69,275.69,244.49,31.2
275.69,275.69,244.79,30.9
275.69,275.69,244.79,30.9
275.69,275.69,245.19,30.5
